Role,Workspace,Section,Feature,What it does,Data scope,Priority,Tier,Screen,Endpoints,Tested as,Checks passed,Also readable by,Verified against
Accounts & Finance,Fees,Reconciliation,Payment Gateway Reconciliation,"Upload gateway settlement reports to auto-reconcile pending, failed, or processing payments.",Assigned institution/campus,Must-Have,advanced,finance/Payments,POST /api/v1/fees/payments/:param/:param GET /api/v1/finance/payments,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Fees,Reconciliation,Reconciliation,Reconcile payment gateway/bank collections and identify mismatches.,Assigned institution/campus finance scope,Must-Have,advanced,finance/Payments,POST /api/v1/fees/payments/:param/:param GET /api/v1/finance/payments,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Reports,Reports,Finance reports,"Daily collection, outstanding, aging/defaulters, student ledger, payment mode, discount and refund reports.",Assigned institution/campus finance scope,Must-Have,core,shared/Exports,GET /api/v1/export,finance@vivencia.test,1,admissions faculty hod hr institution_admin operations parent seller_admin student super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Fees,Student Dues,Cheque Bounce Fine Engine,Automatically levy penalty charges to student ledger upon cheque dishonor notice.,Assigned institution/campus,Must-Have,core,finance/PDCRegister,POST /api/v1/fees/payments/:param/bounce POST /api/v1/fees/payments/:param/clear GET /api/v1/fees/pdc,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Fees,Student Dues,Defaulters & reminders,Filter overdue balances and send configured reminders.,Assigned institution/campus finance scope,Must-Have,core,finance/Defaulters,GET /api/v1/fees/defaulters,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Fees,Student Dues,Post-Dated Cheques (PDC) Registry,"Record PDC entries, track clearance dates, handle bank deposit slips, and log bounced cheques.",Assigned institution/campus,Must-Have,core,finance/PDCRegister,POST /api/v1/fees/payments/:param/bounce POST /api/v1/fees/payments/:param/clear GET /api/v1/fees/pdc,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Accounts & Finance,Fees,Student Dues,Student ledger,"Single account view of charges, payments, credits, refunds and outstanding balance.",Assigned institution/campus finance scope,Must-Have,core,finance/FeeCounter,POST /api/v1/fees/payments GET /api/v1/fees/receipts/:param GET /api/v1/fees/students/:param/ledger GET /api/v1/students,finance@vivencia.test,3,admissions faculty hod institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Aadhaar & APAAR Capture at Admission,"Capture Aadhaar consent, APAAR ID and prior-school UDISE code during the admission form.",Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Admission Fee Collection,"Collect prospectus and application form fees via cash, POS, or integrated payment gateway.",Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Admission Waitlist Management,"Maintain real-time waitlists per class, auto-promoting candidates as seats open up.",Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Alumni Child Quota Allocation,Identify children of alumni applicants and apply institutional alumni quota benefits.,Assigned institution/campus,Nice-to-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Child Info ID Capture,Record the Telangana Child Info ID at admission and verify it against the state register.,Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Enrollment handoff,Convert admitted applicant to student/enrollment without duplicate data entry.,Assigned institution/campus admissions scope,Must-Have,core,admissions/Pipeline,GET /api/v1/academics/sections POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol GET /api/v1/admissions/workflow/funnel GET /api/v1/admissions/workflow/merit GET /api/v1/admissions/workflow/seats,admissions@vivencia.test,4,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Medium of Instruction Selection,Capture the medium the applicant is admitted into and the language combination chosen.,Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Merit List Generation,"Calculate weighted scores based on prior marks, entrance exam, and interview to publish merit lists.",Assigned institution/campus,Must-Have,advanced,admissions/Pipeline,GET /api/v1/academics/sections POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol GET /api/v1/admissions/workflow/funnel GET /api/v1/admissions/workflow/merit GET /api/v1/admissions/workflow/seats,admissions@vivencia.test,4,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Offers / admission decisions,Issue offers/admission decisions based on configured workflow.,Assigned institution/campus admissions scope,Must-Have,core,admissions/Pipeline,GET /api/v1/academics/sections POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol GET /api/v1/admissions/workflow/funnel GET /api/v1/admissions/workflow/merit GET /api/v1/admissions/workflow/seats,admissions@vivencia.test,4,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Provisional Offer Letters,Generate and email/SMS provisional admission offer letters with payment deadline links.,Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,RTE (Right to Education) Quota Tracking,"Manage government RTE quota applications, lottery selection results, and document verification.",Assigned institution/campus,Must-Have,advanced,admissions/Pipeline,GET /api/v1/academics/sections POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol GET /api/v1/admissions/workflow/funnel GET /api/v1/admissions/workflow/merit GET /api/v1/admissions/workflow/seats,admissions@vivencia.test,4,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,RTE Online Lottery Import,Import the state RTE 25% lottery allotment list and convert allotted candidates into applications.,Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Seat Allocation Management,"Manage class/section seat quotas (General, RTE, Management, Sports, Sibling) and availability.",Assigned institution/campus,Must-Have,advanced,admissions/Pipeline,GET /api/v1/academics/sections POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol GET /api/v1/admissions/workflow/funnel GET /api/v1/admissions/workflow/merit GET /api/v1/admissions/workflow/seats,admissions@vivencia.test,4,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Sibling Priority Auto-Matching,Auto-detect existing enrolled siblings during inquiry to apply sibling priority quota.,Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Admissions,Transfer Certificate Intake,"Record the previous school's TC number, board and issue date, and verify against the prior UDISE record.",Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Applicant Medical Fitness Declaration,"Collect applicant medical history, vaccination certificates, and physical fitness approvals.",Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Applicant documents,Collect and verify required admission documents.,Assigned institution/campus admissions scope,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Applications,Create/review applications and track status.,Assigned institution/campus admissions scope,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Entrance Exam Scheduling,"Schedule entrance exam dates, assign exam halls, generate admit cards, and log candidate marks.",Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Foreign / NRI Student Visa Documentation,"Track passport details, student visa status, and embassy NOCs for international applicants.",Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Applications,Interview & Interaction Scheduler,Book interview slots for parents/students with principal/management and record scores.,Assigned institution/campus,Must-Have,core,admissions/Applications,GET /api/v1/academics/sections GET /api/v1/admissions/applications POST /api/v1/admissions/workflow/applications/:param/assessment POST /api/v1/admissions/workflow/applications/:param/decision POST /api/v1/admissions/workflow/applications/:param/enrol,admissions@vivencia.test,2,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Communication,Communication,Applicant communication,"Send status updates, reminders and admission instructions.",Assigned institution/campus admissions scope,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Admissions Open Day Scheduler,"Organize school open house events, manage online slot booking, and check in attending parents.",Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Counselor Activity & Follow-ups,"Log call notes, schedule follow-up reminders, and log candidate visit outcomes.",Assigned institution/campus,Must-Have,core,admissions/Enquiries,GET /api/v1/admissions/enquiries POST /api/v1/admissions/workflow/enquiries PUT /api/v1/admissions/workflow/enquiries/:param,admissions@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Counselor Lead Assignment,Automatically or manually route incoming admission inquiries to specific admission counselors.,Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Enquiries / leads,Capture prospective student enquiries and source/campaign.,Assigned institution/campus admissions scope,Must-Have,core,admissions/Enquiries,GET /api/v1/admissions/enquiries POST /api/v1/admissions/workflow/enquiries PUT /api/v1/admissions/workflow/enquiries/:param,admissions@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Lead Source Tracking,"Tag leads with marketing channels (Google Ads, Facebook, Newspaper, Referral, Walk-in).",Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,Prospectus & Kit Sales Log,"Track inventory, unit sales, and receipt generation for physical school prospectuses.",Assigned institution/campus,Must-Have,core,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Admissions,Enquiries,UTM Tracking & Digital Campaign attribution,"Attribute web inquiries to specific Facebook, Google Ads, or email UTM campaign tags.",Assigned institution/campus,Must-Have,advanced,admissions/Funnel,GET /api/v1/academics/classes GET /api/v1/admin/users POST /api/v1/admissions/applications/patch GET /api/v1/admissions/leads POST /api/v1/admissions/leads/assign GET/POST /api/v1/admissions/open-days GET /api/v1/admissions/open-days/:param/bookings GET /api/v1/admissions/open-days/:param/slots POST /api/v1/admissions/open-days/book GET/POST /api/v1/admissions/prospectus GET /api/v1/admissions/register POST /api/v1/admissions/rte/import GET /api/v1/admissions/sources POST /api/v1/admissions/waitlist/promote,admissions@vivencia.test,9,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Front Desk,Gate Security,Emergency Gate Lockout,Trigger gate security alerts for unapproved exits or blacklisted visitors.,Assigned institution/campus,Must-Have,optional,admissions/FrontDesk,GET /api/v1/hr/employees GET/POST /api/v1/office/appointments GET/POST /api/v1/office/blocklist GET/POST /api/v1/office/calls GET/POST /api/v1/office/courier GET/POST /api/v1/office/visitors POST /api/v1/office/visitors/:param/out GET /api/v1/students,admissions@vivencia.test,7,faculty finance hod hr institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Home,Home,Admissions KPIs,"New enquiries, applications received, incomplete applications, interviews/tests today, offers pending and enrollments.",Assigned institution/campus admissions scope,Must-Have,core,admissions/Dashboard,GET /api/v1/admissions/dashboard GET /api/v1/admissions/enquiries,admissions@vivencia.test,2,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
Admissions & Front Office,Home,Home,Follow-ups,"Applications needing documents, review, payment or follow-up.",Assigned institution/campus admissions scope,Must-Have,core,admissions/Dashboard,GET /api/v1/admissions/dashboard GET /api/v1/admissions/enquiries,admissions@vivencia.test,2,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 10:01
